17	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Peduovirinae	P2virus	Mannheimia phage phiMHaA1
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage CRB1
40	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Prochlorococcus phage P-RSM4
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Phlyer
21	Viruses	unclassified bacterial viruses	Streptococcus phage 20617
85	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Enterobacteria phage phi92
16	Viruses	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae	Orthopoxvirus	Ectromelia virus
15	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Vibrio phage helene 12B3
2	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Gammaherpesvirinae	Rhadinovirus	Bovine gammaherpesvirus 4
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Microbacterium phage Min1
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Wildcat
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Cellulophaga phage phi18:3
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Cyanophage P-SSP2
15	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vequintavirinae	Salmonella phage SSE121
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Clostridium phage phiMMP04
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage 2638A
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lambdavirus	unclassified Lambda-like viruses	Enterobacteria phage HK140
125	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage SN
16	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Xp10virus	Xanthomonas phage phiL7
21	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Microcystis aeruginosa phage Ma-LMM01
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Vibrio phage SHOU24
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Pseudomonas phage phi15
17	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Synechococcus phage S-PM2
19	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Thermus phage phiYS40
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Psavirus	Listeria phage LP-030-2
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Burkholderia phage KS10
1	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus	Xestia c-nigrum granulovirus
18	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Salicola phage CGphi29
42	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Celeribacter phage P12053L
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Spounavirinae	P100virus	Listeria virus A511
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lactobacillus phage A2
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Klebsiella phage JD001
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage SpaA1
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vequintavirinae	Escherichia phage FV3
